"No.","Time","Source","Destination","Protocol","Length","Info","dest (r)","dest(u)","src (r)","src(u)","New Column"
"1","0.000000","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.10? Tell 192.168.111.75","","","","","1"
"2","0.299299","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.221? Tell 192.168.111.75","","","","","2"
"3","0.605791","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.161? Tell 192.168.111.75","","","","","3"
"4","0.820884","192.168.111.43","142.251.177.188","TCP","54","49712  >  5228 [ACK] Seq=1 Ack=1 Win=2048 Len=0","5228","5228","49712","49712","4"
"5","0.851687","142.251.177.188","192.168.111.43","TCP","54","5228  >  49712 [RST] Seq=1 Win=0 Len=0","49712","49712","5228","5228","5"
"6","0.908395","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.219? Tell 192.168.111.75","","","","","6"
"7","1.224827","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.222? Tell 192.168.111.75","","","","","7"
"8","1.272666","192.168.111.43","192.168.111.1","DNS","73","Standard query 0x6d2e A openrouter.ai","53","53","57739","57739","8"
"9","1.288046","192.168.111.1","192.168.111.43","DNS","105","Standard query response 0x6d2e A openrouter.ai A 104.18.3.115 A 104.18.2.115","57739","57739","53","53","9"
"10","1.289165","192.168.111.43","104.18.3.115","TCP","78","51676  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=337952651 TSecr=0 SACK_PERM","443","443","51676","51676","10"
"11","1.307900","104.18.3.115","192.168.111.43","TCP","74","443  >  51676 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM TSval=3394716789 TSecr=337952651 WS=8192","51676","51676","443","443","11"
"12","1.308020","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0 TSval=337952670 TSecr=3394716789","443","443","51676","51676","12"
"13","1.308858","192.168.111.43","104.18.3.115","TLSv1.3","583","Client Hello (SNI=openrouter.ai)","443","443","51676","51676","13"
"14","1.329277","104.18.3.115","192.168.111.43","TCP","66","443  >  51676 [ACK] Seq=1 Ack=518 Win=131072 Len=0 TSval=3394716810 TSecr=337952670","51676","51676","443","443","14"
"15","1.329278","104.18.3.115","192.168.111.43","TLSv1.3","1514","Server Hello, Change Cipher Spec","51676","51676","443","443","15"
"16","1.329349","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=518 Ack=1449 Win=130368 Len=0 TSval=337952692 TSecr=3394716812","443","443","51676","51676","16"
"17","1.333392","104.18.3.115","192.168.111.43","TLSv1.3","1464","Application Data","51676","51676","443","443","17"
"18","1.333484","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=518 Ack=2847 Win=129664 Len=0 TSval=337952696 TSecr=3394716812","443","443","51676","51676","18"
"19","1.336035","192.168.111.43","104.18.3.115","TLSv1.3","146","Change Cipher Spec, Application Data","443","443","51676","51676","19"
"20","1.336412","192.168.111.43","104.18.3.115","TLSv1.3","685","Application Data","443","443","51676","51676","20"
"21","1.336461","192.168.111.43","104.18.3.115","TLSv1.3","245","Application Data","443","443","51676","51676","21"
"22","1.360314","104.18.3.115","192.168.111.43","TCP","66","443  >  51676 [ACK] Seq=2847 Ack=1396 Win=131072 Len=0 TSval=3394716843 TSecr=337952698","51676","51676","443","443","22"
"23","1.532869","192.168.111.93","224.0.0.251","MDNS","343","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question PTR _airport._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _ptp._tcp.local, ""QM"" question PTR _uscan._tcp.local, ""QM"" question PTR _pdl-datastream._tcp.local, ""QM"" question PTR _scanner._tcp.local, ""QM"" question PTR _uscans._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ippusb._tcp.local, ""QM"" question PTR _printer._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR _adisk._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question OPT","5353","5353","5353","5353","23"
"24","1.836886","fe80::1c67:9a0a:2034:3493","ff02::fb","MDNS","363","Standard query 0x0000 PTR lb._dns-sd._udp.local, ""QM"" question PTR _airport._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _ptp._tcp.local, ""QM"" question PTR _uscan._tcp.local, ""QM"" question PTR _pdl-datastream._tcp.local, ""QM"" question PTR _scanner._tcp.local, ""QM"" question PTR _uscans._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ippusb._tcp.local, ""QM"" question PTR _printer._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR _adisk._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question OPT","5353","5353","5353","5353","24"
"25","1.840084","104.18.3.115","192.168.111.43","TLSv1.3","1130","Application Data, Application Data","51676","51676","443","443","25"
"26","1.840254","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=3911 Win=129984 Len=0 TSval=337953202 TSecr=3394717241","443","443","51676","51676","26"
"27","1.886200","104.18.3.115","192.168.111.43","TLSv1.3","104","Application Data","51676","51676","443","443","27"
"28","1.886296","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=3949 Win=131008 Len=0 TSval=337953249 TSecr=3394717366","443","443","51676","51676","28"
"29","2.146907","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.220? Tell 192.168.111.75","","","","","29"
"30","2.347904","104.18.3.115","192.168.111.43","TLSv1.3","102","Application Data","51676","51676","443","443","30"
"31","2.348028","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=3985 Win=131008 Len=0 TSval=337953710 TSecr=3394717787","443","443","51676","51676","31"
"32","2.755578","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.161? Tell 192.168.111.75","","","","","32"
"33","2.755579","104.18.3.115","192.168.111.43","TLSv1.3","101","Application Data","51676","51676","443","443","33"
"34","2.755707","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=4020 Win=131008 Len=0 TSval=337954118 TSecr=3394718205","443","443","51676","51676","34"
"35","3.067229","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.54? Tell 192.168.111.75","","","","","35"
"36","3.165938","104.18.3.115","192.168.111.43","TLSv1.3","101","Application Data","51676","51676","443","443","36"
"37","3.166037","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=4055 Win=131008 Len=0 TSval=337954528 TSecr=3394718623","443","443","51676","51676","37"
"38","3.575992","104.18.3.115","192.168.111.43","TLSv1.3","101","Application Data","51676","51676","443","443","38"
"39","3.576102","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=4090 Win=131008 Len=0 TSval=337954938 TSecr=3394719042","443","443","51676","51676","39"
"40","3.674946","Ring_01:ae:4a","Broadcast","ARP","42","ARP Announcement for 192.168.111.51","","","","","40"
"41","3.986497","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.220? Tell 192.168.111.75","","","","","41"
"42","4.088365","104.18.3.115","192.168.111.43","TLSv1.3","101","Application Data","51676","51676","443","443","42"
"43","4.088469","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=4125 Win=131008 Len=0 TSval=337955451 TSecr=3394719462","443","443","51676","51676","43"
"44","4.600213","192.168.111.54","224.0.0.251","MDNS","100","Standard query 0x0000 PTR _companion-link._tcp.local, ""QU"" question PTR _rdlink._tcp.local, ""QU"" question","5353","5353","5353","5353","44"
"45","4.600214","104.18.3.115","192.168.111.43","TLSv1.3","101","Application Data","51676","51676","443","443","45"
"46","4.600319","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=4160 Win=131008 Len=0 TSval=337955963 TSecr=3394719882","443","443","51676","51676","46"
"47","4.692831","Apple_1c:fe:8a","76:16:ec:55:57:69","ARP","42","Who has 192.168.111.54? Tell 192.168.111.43","","","","","47"
"48","4.692834","192.168.111.43","192.168.111.54","MDNS","402","Standard query response 0x0000 PTR Zephaniahâ\200\231s MacBook Air._companion-link._tcp.local SRV, cache flush 0 0 49700 Zephaniahs-MacBook-Air.local TXT, cache flush TXT AAAA, cache flush fe80::85a:4740:d8a5:8ac4 A, cache flush 192.168.111.43","5353","5353","5353","5353","48"
"49","4.817514","104.18.3.115","192.168.111.43","TLSv1.3","101","Application Data","51676","51676","443","443","49"
"50","4.817618","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=4195 Win=131008 Len=0 TSval=337956180 TSecr=3394720301","443","443","51676","51676","50"
"51","4.937872","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.200? Tell 192.168.111.75","","","","","51"
"52","4.952028","76:16:ec:55:57:69","Apple_1c:fe:8a","ARP","60","192.168.111.54 is at 76:16:ec:55:57:69","","","","","52"
"53","5.216915","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.57? Tell 192.168.111.75","","","","","53"
"54","5.315416","104.18.3.115","192.168.111.43","TLSv1.3","101","Application Data","51676","51676","443","443","54"
"55","5.315570","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=4230 Win=131008 Len=0 TSval=337956678 TSecr=3394720721","443","443","51676","51676","55"
"56","5.728987","104.18.3.115","192.168.111.43","TLSv1.3","101","Application Data","51676","51676","443","443","56"
"57","5.729094","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=4265 Win=131008 Len=0 TSval=337957091 TSecr=3394721140","443","443","51676","51676","57"
"58","5.826978","192.168.111.153","224.0.0.251","MDNS","175","Standard query 0x0000 SRV HP Color LaserJet Pro M252dw (12DD9F)._ipps._tcp.local, ""QM"" question TXT HP Color LaserJet Pro M252dw (12DD9F)._ipps._tcp.local, ""QM"" question SRV HP Color LaserJet Pro M252dw (12DD9F)._ipp._tcp.local, ""QM"" question TXT HP Color LaserJet Pro M252dw (12DD9F)._ipp._tcp.local, ""QM"" question","5353","5353","5353","5353","58"
"59","6.258760","104.18.3.115","192.168.111.43","TLSv1.3","101","Application Data","51676","51676","443","443","59"
"60","6.258888","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=4300 Win=131008 Len=0 TSval=337957621 TSecr=3394721563","443","443","51676","51676","60"
"61","6.440054","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.100? Tell 192.168.111.75","","","","","61"
"62","6.544351","104.18.3.115","192.168.111.43","TLSv1.3","101","Application Data","51676","51676","443","443","62"
"63","6.544457","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=4335 Win=131008 Len=0 TSval=337957907 TSecr=3394721982","443","443","51676","51676","63"
"64","6.749692","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.47? Tell 192.168.111.75","","","","","64"
"65","6.962009","104.18.3.115","192.168.111.43","TLSv1.3","101","Application Data","51676","51676","443","443","65"
"66","6.962126","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=4370 Win=131072 Len=0 TSval=337958325 TSecr=3394722401","443","443","51676","51676","66"
"67","7.055017","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.93? Tell 192.168.111.75","","","","","67"
"68","7.362583","104.18.3.115","192.168.111.43","TLSv1.3","101","Application Data","51676","51676","443","443","68"
"69","7.362888","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=4405 Win=131072 Len=0 TSval=337958725 TSecr=3394722821","443","443","51676","51676","69"
"70","7.678246","192.168.111.162","224.0.0.251","MDNS","122","Standard query 0x0000 PTR _raop._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question PTR _airplay-bds._tcp.local, ""QM"" question PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question","5353","5353","5353","5353","70"
"71","7.769705","104.18.3.115","192.168.111.43","TLSv1.3","101","Application Data","51676","51676","443","443","71"
"72","7.769923","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=4440 Win=131072 Len=0 TSval=337959132 TSecr=3394723241","443","443","51676","51676","72"
"73","7.846608","104.18.3.115","192.168.111.43","TLSv1.3","1457","Application Data","51676","51676","443","443","73"
"74","7.846717","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=5831 Win=129664 Len=0 TSval=337959209 TSecr=3394723331","443","443","51676","51676","74"
"75","7.852271","104.18.3.115","192.168.111.43","TLSv1.3","1514","Application Data","51676","51676","443","443","75"
"76","7.852273","104.18.3.115","192.168.111.43","TLSv1.3","177","Application Data","51676","51676","443","443","76"
"77","7.852274","104.18.3.115","192.168.111.43","TLSv1.3","130","Application Data, Application Data","51676","51676","443","443","77"
"78","7.852408","192.168.111.43","104.18.3.115","TCP","66","51676  >  443 [ACK] Seq=1396 Ack=7454 Win=129408 Len=0 TSval=337959215 TSecr=3394723331","443","443","51676","51676","78"
"79","7.976443","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.100? Tell 192.168.111.75","","","","","79"
"80","8.287242","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.47? Tell 192.168.111.75","","","","","80"
"81","8.899205","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.93? Tell 192.168.111.75","","","","","81"
"82","9.207642","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.102? Tell 192.168.111.75","","","","","82"
"83","9.515938","Apple_1c:d0:eb","Broadcast","ARP","42","Who has 192.168.111.153? Tell 192.168.111.162","","","","","83"
"84","10.127936","192.168.111.17","224.0.0.251","IGMPv2","60","Membership Report group 224.0.0.251","","","","","84"
"85","10.436009","192.168.111.17","224.0.0.251","MDNS","100","Standard query 0x0000 PTR _rdlink._tcp.local, ""QU"" question PTR _companion-link._tcp.local, ""QU"" question","5353","5353","5353","5353","85"
"86","10.484602","Apple_1c:fe:8a","Apple_7f:63:85","ARP","42","Who has 192.168.111.17? Tell 192.168.111.43","","","","","86"
"87","10.484606","192.168.111.43","192.168.111.17","MDNS","402","Standard query response 0x0000 PTR Zephaniahâ\200\231s MacBook Air._companion-link._tcp.local SRV, cache flush 0 0 49700 Zephaniahs-MacBook-Air.local TXT, cache flush TXT AAAA, cache flush fe80::85a:4740:d8a5:8ac4 A, cache flush 192.168.111.43","5353","5353","5353","5353","87"
"88","10.742785","0.0.0.0","224.0.0.1","IGMPv2","46","Membership Query, general","","","","","88"
"89","11.460961","Apple_7f:63:85","Apple_1c:fe:8a","ARP","60","192.168.111.17 is at 80:96:98:7f:63:85","","","","","89"
"90","11.770766","Apple_1c:d0:eb","Broadcast","ARP","42","Who has 192.168.111.153? Tell 192.168.111.162","","","","","90"
"91","12.281671","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.101? Tell 192.168.111.75","","","","","91"
"92","12.889195","192.168.111.43","192.168.111.1","DNS","109","Standard query 0x5cc6 A f7d9baf39fe34ef0abb9f01239b6708e.zephaniahdev.com","53","53","50032","50032","92"
"93","13.009030","192.168.111.1","192.168.111.43","DNS","175","Standard query response 0x5cc6 No such name A f7d9baf39fe34ef0abb9f01239b6708e.zephaniahdev.com SOA ns1.dns-parking.com","50032","50032","53","53","93"
"94","13.200535","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.61? Tell 192.168.111.75","","","","","94"
"95","13.512896","Apple_24:86:f8","Broadcast","ARP","60","Who has 192.168.111.162? Tell 192.168.111.98","","","","","95"
"96","13.819156","ASUSTekCOMPU_1f:de:80","Broadcast","ARP","60","Who has 192.168.111.98? Tell 192.168.111.1","","","","","96"
"97","14.429653","192.168.111.17","224.0.0.251","MDNS","166","Standard query 0x0000 PTR _rdlink._tcp.local, ""QM"" question PTR _companion-link._tcp.local, ""QM"" question PTR Savanahâ\200\231s MacBook Air._companion-link._tcp.local PTR Savanah Lares._companion-link._tcp.local","5353","5353","5353","5353","97"
"98","14.536329","192.168.111.43","224.0.0.251","MDNS","443","Standard query response 0x0000 TXT PTR Zephaniahâ\200\231s MacBook Air._companion-link._tcp.local TXT, cache flush SRV, cache flush 0 0 49700 Zephaniahs-MacBook-Air.local AAAA, cache flush fe80::85a:4740:d8a5:8ac4 A, cache flush 192.168.111.43 NSEC, cache flush Zephaniahâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Zephaniahs-MacBook-Air.local","5353","5353","5353","5353","98"
"99","14.536449","fe80::85a:4740:d8a5:8ac4","ff02::fb","MDNS","463","Standard query response 0x0000 TXT PTR Zephaniahâ\200\231s MacBook Air._companion-link._tcp.local TXT, cache flush SRV, cache flush 0 0 49700 Zephaniahs-MacBook-Air.local AAAA, cache flush fe80::85a:4740:d8a5:8ac4 A, cache flush 192.168.111.43 NSEC, cache flush Zephaniahâ\200\231s MacBook Air._companion-link._tcp.local NSEC, cache flush Zephaniahs-MacBook-Air.local","5353","5353","5353","5353","99"
"100","14.735127","Apple_24:86:f8","Broadcast","ARP","60","Who has 192.168.111.162? Tell 192.168.111.98","","","","","100"
"101","15.005767","192.168.111.43","17.248.168.103","UDP","84","63611  >  443 Len=42","443","443","63611","63611","101"
"102","15.006379","192.168.111.43","17.248.168.169","UDP","84","61655  >  443 Len=42","443","443","61655","61655","102"
"103","15.041814","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.101? Tell 192.168.111.75","","","","","103"
"104","15.662905","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.101? Tell 192.168.111.75","","","","","104"
"105","15.963040","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.51? Tell 192.168.111.75","","","","","105"
"106","16.240194","192.168.111.43","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251","","","","","106"
"107","16.270593","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.45? Tell 192.168.111.75","","","","","107"
"108","16.582803","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.101? Tell 192.168.111.75","","","","","108"
"109","16.608478","192.168.111.43","17.248.190.196","TLSv1.2","90","Application Data","443","443","51664","51664","109"
"110","16.609092","192.168.111.43","17.248.190.196","TLSv1.2","90","Application Data","443","443","51666","51666","110"
"111","16.609537","192.168.111.43","17.248.190.196","TLSv1.2","90","Application Data","443","443","51667","51667","111"
