"No.","Time","Source","Destination","Protocol","Length","Info","dest (r)","dest(u)","src (r)","src(u)","New Column"
"1","0.000000","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.150? Tell 192.168.111.75","","","","","1"
"2","0.305591","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.102? Tell 192.168.111.75","","","","","2"
"3","1.838415","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.220? Tell 192.168.111.75","","","","","3"
"4","2.146603","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.51? Tell 192.168.111.75","","","","","4"
"5","2.451937","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.220? Tell 192.168.111.75","","","","","5"
"6","2.759077","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.51? Tell 192.168.111.75","","","","","6"
"7","3.071062","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.161? Tell 192.168.111.75","","","","","7"
"8","3.154655","192.168.111.43","192.168.111.1","DNS","73","Standard query 0xf712 A openrouter.ai","53","53","54151","54151","8"
"9","3.446142","192.168.111.1","192.168.111.43","DNS","105","Standard query response 0xf712 A openrouter.ai A 104.18.2.115 A 104.18.3.115","54151","54151","53","53","9"
"10","3.448983","192.168.111.43","104.18.2.115","TCP","78","62441  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1579524123 TSecr=0 SACK_PERM","443","443","62441","62441","10"
"11","3.545579","104.18.2.115","192.168.111.43","TCP","74","443  >  62441 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM TSval=577323035 TSecr=1579524123 WS=8192","62441","62441","443","443","11"
"12","3.545775","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0 TSval=1579524220 TSecr=577323035","443","443","62441","62441","12"
"13","3.549103","192.168.111.43","104.18.2.115","TLSv1.3","583","Client Hello (SNI=openrouter.ai)","443","443","62441","62441","13"
"14","3.584676","104.18.2.115","192.168.111.43","TCP","66","443  >  62441 [ACK] Seq=1 Ack=518 Win=131072 Len=0 TSval=577323133 TSecr=1579524224","62441","62441","443","443","14"
"15","3.584678","104.18.2.115","192.168.111.43","TLSv1.3","1514","Server Hello, Change Cipher Spec","62441","62441","443","443","15"
"16","3.584800","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=518 Ack=1449 Win=130368 Len=0 TSval=1579524259 TSecr=577323135","443","443","62441","62441","16"
"17","3.587763","104.18.2.115","192.168.111.43","TLSv1.3","1463","Application Data","62441","62441","443","443","17"
"18","3.587814","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=518 Ack=2846 Win=129664 Len=0 TSval=1579524262 TSecr=577323135","443","443","62441","62441","18"
"19","3.594649","192.168.111.43","104.18.2.115","TLSv1.3","146","Change Cipher Spec, Application Data","443","443","62441","62441","19"
"20","3.595558","192.168.111.43","104.18.2.115","TLSv1.3","685","Application Data","443","443","62441","62441","20"
"21","3.595677","192.168.111.43","104.18.2.115","TLSv1.3","233","Application Data","443","443","62441","62441","21"
"22","3.816862","104.18.2.115","192.168.111.43","TLSv1.3","1130","Application Data, Application Data","62441","62441","443","443","22"
"23","3.817119","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=3910 Win=129984 Len=0 TSval=1579524492 TSecr=577323341","443","443","62441","62441","23"
"24","3.992771","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.200? Tell 192.168.111.75","","","","","24"
"25","4.104694","192.168.111.43","17.248.168.136","UDP","83","57505  >  443 Len=41","443","443","57505","57505","25"
"26","4.288443","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.57? Tell 192.168.111.75","","","","","26"
"27","4.303736","104.18.2.115","192.168.111.43","TLSv1.3","104","Application Data","62441","62441","443","443","27"
"28","4.303738","17.248.168.136","192.168.111.43","UDP","73","443  >  57505 Len=31","57505","57505","443","443","28"
"29","4.303950","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=3948 Win=131008 Len=0 TSval=1579524979 TSecr=577323693","443","443","62441","62441","29"
"30","4.596856","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.19? Tell 192.168.111.75","","","","","30"
"31","4.727772","104.18.2.115","192.168.111.43","TLSv1.3","102","Application Data","62441","62441","443","443","31"
"32","4.727886","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=3984 Win=131008 Len=0 TSval=1579525403 TSecr=577324292","443","443","62441","62441","32"
"33","4.889954","192.168.111.43","192.168.111.1","DNS","92","Standard query 0x2e57 HTTPS mobile.events.data.microsoft.com","53","53","64262","64262","33"
"34","4.890020","192.168.111.43","192.168.111.1","DNS","92","Standard query 0x5a60 A mobile.events.data.microsoft.com","53","53","62477","62477","34"
"35","4.902511","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.200? Tell 192.168.111.75","","","","","35"
"36","5.012267","192.168.111.1","192.168.111.43","DNS","212","Standard query response 0x5a60 A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdwus23.westus.cloudapp.azure.com A 20.189.173.24","62477","62477","53","53","36"
"37","5.012269","192.168.111.1","192.168.111.43","DNS","257","Standard query response 0x2e57 HTTPS mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprduks02.uksouth.cloudapp.azure.com SOA ns1-01.azure-dns.com","64262","64262","53","53","37"
"38","5.016563","192.168.111.43","192.168.111.1","DNS","102","Standard query 0xa881 HTTPS onedscolprdwus23.westus.cloudapp.azure.com","53","53","64475","64475","38"
"39","5.033354","192.168.111.1","192.168.111.43","DNS","172","Standard query response 0xa881 HTTPS onedscolprdwus23.westus.cloudapp.azure.com SOA ns1-02.azure-dns.com","64475","64475","53","53","39"
"40","5.035847","192.168.111.43","20.189.173.24","TCP","78","62442  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2948496528 TSecr=0 SACK_PERM","443","443","62442","62442","40"
"41","5.122866","20.189.173.24","192.168.111.43","TCP","74","443  >  62442 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM TSval=3189575751 TSecr=2948496528","62442","62442","443","443","41"
"42","5.122867","104.18.2.115","192.168.111.43","TLSv1.3","101","Application Data","62441","62441","443","443","42"
"43","5.122967","192.168.111.43","104.18.2.115","TCP","66","62441  >  443 [ACK] Seq=1384 Ack=4019 Win=131008 Len=0 TSval=1579525798 TSecr=577324682","443","443","62441","62441","43"
"44","5.123052","192.168.111.43","20.189.173.24","TCP","66","62442  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=2948496616 TSecr=3189575751","443","443","62442","62442","44"
"45","5.123689","192.168.111.43","20.189.173.24","TLSv1.3","583","Client Hello (SNI=mobile.events.data.microsoft.com)","443","443","62442","62442","45"
"46","5.215157","8a:96:dd:09:e9:d0","Broadcast","ARP","60","Who has 192.168.111.57? Tell 192.168.111.75","","","","","46"
"47","5.225324","20.189.173.24","192.168.111.43","TLSv1.3","165","Hello Retry Request, Change Cipher Spec","62442","62442","443","443","47"
"48","5.225494","192.168.111.43","20.189.173.24","TCP","66","62442  >  443 [ACK] Seq=518 Ack=100 Win=131264 Len=0 TSval=2948496718 TSecr=3189575862","443","443","62442","62442","48"
"49","5.229003","192.168.111.43","20.189.173.24","TLSv1.3","471","Change Cipher Spec, Client Hello (SNI=mobile.events.data.microsoft.com)","443","443","62442","62442","49"
"50","5.342480","20.189.173.24","192.168.111.43","TCP","66","443  >  62442 [ACK] Seq=100 Ack=923 Win=4193792 Len=0 TSval=3189575987 TSecr=2948496722","62442","62442","443","443","50"
"51","5.388748","20.189.173.24","192.168.111.43","TLSv1.3","1514","Server Hello","62442","62442","443","443","51"
"52","5.388750","20.189.173.24","192.168.111.43","TCP","1514","443  >  62442 [ACK] Seq=1548 Ack=923 Win=4193792 Len=1448 TSval=3189576031 TSecr=2948496722 [TCP PDU reassembled in 55]","62442","62442","443","443","52"
"53","5.388751","20.189.173.24","192.168.111.43","TCP","1514","443  >  62442 [ACK] Seq=2996 Ack=923 Win=4193792 Len=1448 TSval=3189576031 TSecr=2948496722 [TCP PDU reassembled in 55]","62442","62442","443","443","53"
"54","5.388753","20.189.173.24","192.168.111.43","TCP","1514","443  >  62442 [ACK] Seq=4444 Ack=923 Win=4193792 Len=1448 TSval=3189576031 TSecr=2948496722 [TCP PDU reassembled in 55]","62442","62442","443","443","54"
